Item_Item_Description,Item__No__,Item__Base_Unit_of_Measure_,Item_Inventory,Qty__on_Sales_Order_,Item__Qty__on_Purch__Order_,QtyAvailable,Av,Clifton,Clifton 8006,UB,UB Clifton,UB Clifton 8006,Total Sec + Clif,Total UB,Total
Nude Gloss - 002 Barely There,1000772,EA,105.,0.,0.,105.,105.,0.,0.,0.,0.,0.,105.,0.,105.
Nude Gloss - 006 So Glazed,1000773,EA,"6,483.",-183.,0.,"6,300.","6,300.",0.,0.,0.,0.,0.,"6,300.",0.,"6,300."
Nude Gloss - 007 Its Glass,1000774,EA,"12,046.",-341.,0.,"11,705.","11,705.",0.,0.,0.,0.,0.,"11,705.",0.,"11,705."
The Nubian Eyeliner - Midnight Blue,1000783,EA,"10,492.",-27.,0.,"10,465.","10,465.","2,448.",0.,"2,991.",0.,0.,"12,913.","2,991.","15,904."
The Nubian Eyeliner - Cocoa,1000784,EA,261.,0.,0.,261.,261.,0.,0.,0.,0.,0.,261.,0.,261.
The Mauves Eyeshadow Palette,1000794,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
The Sweet Pinks Eyeshadow Palette,1000795,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
The Taupes Eyeshadow Palette,1000796,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
Wahala Eyeshadow Palette,1000798,EA,"4,150.",-54.,0.,"4,096.","4,096.",0.,"4,320.",0.,0.,0.,"8,416.",0.,"8,416."
The Nubian - Cleo,1000800,EA,"4,182.",-9.,0.,"4,173.","4,173.",0.,"9,996.",0.,0.,0.,"14,169.",0.,"14,169."
The Nubian - Nefertiti,1000803,EA,"6,142.",-159.,0.,"5,983.","5,983.",0.,0.,0.,0.,0.,"5,983.",0.,"5,983."
The Nubian - Nefertiti,1000803- BOM,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
The Nubian - Nubia,1000806,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
The Royalty I,1000809,EA,"40,415.00",-17.00,0.00,"40,398.00","40,398.",0.,0.,0.,0.,0.,"40,398.",0.,"40,398."
The Royalty 2,1000810,EA,"3,902.",-6.,0.,"3,896.","3,896.",0.,0.,0.,"13,328.",0.,"3,896.","13,328.","17,224."
Heroine Loose Highlighter,1000814,EA,160.,-7.,0.,153.,153.,0.,0.,0.,"36,652.",0.,153.,"36,652.","36,805."
The Hyaluronic Glow Serum,1000815,EA,711.,-20.,0.,691.,691.,0.,0.,0.,0.,0.,691.,0.,691.
I Am Magic Setting Powder - Gobi,1000822,EA,"1,667.",0.,0.,"1,667.","1,667.",0.,0.,0.,0.,0.,"1,667.",0.,"1,667."
I Am Magic Setting Powder - Kalahari,1000823,EA,269.,0.,0.,269.,269.,0.,0.,0.,0.,0.,269.,0.,269.
I Am Magic Setting Powder - Namib,1000824,EA,"10,079.",-42.,0.,"10,037.","10,037.",0.,0.,0.,0.,0.,"10,037.",0.,"10,037."
I Am Magic Setting Powder - Sahara,1000827,EA,"3,478.",-45.,0.,"3,433.","3,433.",0.,0.,0.,0.,0.,"3,433.",0.,"3,433."
The Queen Gloss: Fumi - Fumi X Juvias,1000847,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
The Nubian Eyeliner - Kajal,1000860,EA,65.,0.,0.,65.,65.,0.,0.,0.,0.,0.,65.,0.,65.
5 Pcs Pink Brush Set,1000862,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
The 25% Vitamin C Serum,1000868,EA,"5,587.00",-7.00,0.00,"5,580.00","5,580.",0.,0.,0.,0.,0.,"5,580.",0.,"5,580."
The Royalty I & II Loose Highlighter Bundle,1000873,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
The Minis Bundle,1000887,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
Highlighter Blending Brush,1000911,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
Coral Makeup Bag,1000912,EA,0.00,0.00,0.00,0.00,0.,0.,0.,0.,0.,0.,0.,0.,0.
The Afterglow Serum,1000919,EA,"6,551.",-10.,0.,"6,541.","6,541.",0.,0.,0.,0.,0.,"6,541.",0.,"6,541."
The Squalane Glow Oil,1000924,EA,"4,857.",-32.,0.,"4,825.","4,825.",0.,0.,0.,0.,0.,"4,825.",0.,"4,825."
The Glow C Moisturizer,1000934,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
Tribe Highlighter Bundle (All 3),1000949,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
The Nude Lip Collection Bundle,1000950,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
The Lip Reflect Gloss Bundle,1000951,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
The Glass Gloss Bundle,1000952,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
The Nudes Mauves Lipstick Bundle,1000954,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
The Nudes Peaches Lipstick Bundle,1000955,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
The Nudes Chocolate Lipstick Bundle,1000956,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
Nubian Glow Lip Balm - 002 - Mango,1000960,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
Nubian Glow Lip Balm - 001 - Guava,1000961,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
The Niacinamide Gel Moisturizer,1000973,EA,0.00,0.00,0.00,0.00,0.,0.,0.,0.,0.,0.,0.,0.,0.
Wahala 2 Eyeshadow Palette,1000986,EA,0.00,0.00,0.00,0.00,0.,0.,0.,0.,0.,0.,0.,0.,0.
The Nubian Glow 6 Pan Palette,1000987,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
The Nubian Royal 6 Pan Palette,1001002,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
Nubian Glow Gift Set,1001003,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
Nubian Royal Gift Set,1001004,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
Nourishing Lip Balm - 01 - Peppermint,1001005,EA,"1,992.",-12.,0.,"1,980.","1,980.",0.,0.,0.,0.,0.,"1,980.",0.,"1,980."
Nourishing Lip Balm - 02 - Sweet Berries,1001006,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
Nourishing Lip Balm - 03 - Mango,1001007,EA,"2,318.",-336.,0.,"1,982.","1,982.",0.,0.,0.,0.,0.,"1,982.",0.,"1,982."
Nourishing Lip Balm - 04 - Passion Fruit,1001008,EA,102.,0.,0.,102.,102.,0.,0.,0.,0.,0.,102.,0.,102.
Nourishing Lip Balm - 05 - Caramel,1001009,EA,2.,0.,0.,2.,2.,0.,0.,0.,0.,0.,2.,0.,2.
The Berries Lipstick - 01 - Frenemy,1001051,EA,"3,433.",-184.,0.,"3,249.","3,249.",0.,0.,0.,0.,0.,"3,249.",0.,"3,249."
The Berries Lipstick - 02 - Fierce,1001052,EA,"4,528.",-240.,0.,"4,288.","4,288.",0.,0.,0.,0.,0.,"4,288.",0.,"4,288."
The Berries Lipstick - 03 - Drama Queen,1001053,EA,"9,866.",-186.,0.,"9,680.","9,680.",0.,0.,0.,0.,0.,"9,680.",0.,"9,680."
The Berries Lipstick - 04 - Oh Damn,1001054,EA,"2,838.",-21.,0.,"2,817.","2,817.",0.,0.,0.,0.,0.,"2,817.",0.,"2,817."
The Reds Lipstick - 01 - Afrik,1001055,EA,"5,812.",-27.,0.,"5,785.","5,785.",0.,0.,0.,0.,0.,"5,785.",0.,"5,785."
The Reds Lipstick - 02 - So Red,1001056,EA,"12,624.",-162.,0.,"12,462.","12,462.",0.,0.,0.,0.,0.,"12,462.",0.,"12,462."
The Reds Lipstick - 03 - Rouge,1001057,EA,"8,237.",-174.,0.,"8,063.","8,063.",0.,0.,0.,0.,0.,"8,063.",0.,"8,063."
The Reds Lipstick - 05 - Rude Girl,1001058,EA,"5,465.",-176.,0.,"5,289.","5,289.",0.,0.,0.,0.,0.,"5,289.",0.,"5,289."
The Reds Lipstick - 06 - The Perfect Red,1001059,EA,"3,475.",-326.,0.,"3,149.","3,149.",0.,0.,0.,0.,0.,"3,149.",0.,"3,149."
Reds and Berries Gloss - 01 - Culture,1001079,EA,"4,516.",-310.,0.,"4,206.","4,206.",0.,0.,0.,0.,0.,"4,206.",0.,"4,206."
Reds and Berries - 02 - Cherry Love,1001080,EA,156.,-23.,0.,133.,133.,0.,0.,0.,0.,0.,133.,0.,133.
Red and Berries Gloss - 03 - Ruby Rose,1001081,EA,"1,922.",-191.,0.,"1,731.","1,731.",0.,0.,0.,0.,0.,"1,731.",0.,"1,731."
Reds and Berries Gloss - 04 - She'S Royal,1001082,EA,"3,229.",-175.,0.,"3,054.","3,054.",0.,0.,0.,0.,0.,"3,054.",0.,"3,054."
Reds and Berries Gloss - 05 - Maroon,1001083,EA,"4,121.",-15.,0.,"4,106.","4,106.",0.,0.,0.,0.,0.,"4,106.",0.,"4,106."
Reds and Berries Gloss - 06 - Sweet Beets,1001084,EA,"4,882.",-171.,0.,"4,711.","4,711.",0.,0.,0.,0.,0.,"4,711.",0.,"4,711."
Luxe Lip Liner - 007 - Ruby,1001087,EA,"10,788.",-365.,0.,"10,423.","10,423.",0.,0.,0.,0.,0.,"10,423.",0.,"10,423."
Luxe Lip Liner - 008 - Wine,1001090,EA,"15,205.",-292.,0.,"14,913.","14,913.",0.,0.,0.,0.,0.,"14,913.",0.,"14,913."
The Nude Lip Collection Gift Box,1001091,EA,70.,0.,0.,70.,70.,0.,0.,0.,0.,0.,70.,0.,70.
The Reds Mini Liquid Lipstick - Red Velvet,1001117,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
The Reds Mini Liquid Lipstick - Scarlet,1001118,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
The Niacinamide 20 Serum,1001133,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
The Glow C Elixir,1001138,EA,"2,440.",-10.,0.,"2,430.","2,430.",0.,"8,640.",0.,0.,0.,"11,070.",0.,"11,070."
The Nubian Eyeliner - Royal Blue,1001158,EA,250.,-26.,0.,224.,224.,0.,0.,"7,332.",0.,0.,224.,"7,332.","7,556."
Wahala Mini Nude Gloss - Petty Betty,1001175,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
Wahala Mini Liquid Lip Stick - Shakara,1001176,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
The 10% Glycolic Acid Toner,1001177,EA,"8,649.",-12.,0.,"8,637.","8,637.",0.,0.,0.,0.,0.,"8,637.",0.,"8,637."
I Am Magic Mini Concealer #05,1001215,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
I Am Magic Mini Concealer #07,1001216,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
I Am Magic Mini Concealer #10,1001217,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
I Am Magic Mini Concealer #11,1001218,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
I Am Magic Mini Concealer #12,1001219,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
I Am Magic Mini Concealer #13,1001220,EA,1.,0.,0.,1.,1.,0.,0.,0.,0.,0.,1.,0.,1.
I Am Magic Mini Concealer #14,1001221,EA,71.,-8.,0.,63.,63.,0.,0.,0.,0.,0.,63.,0.,63.
I Am Magic Mini Concealer #16,1001222,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
I Am Magic Mini Concealer #18,1001223,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
I Am Magic Mini Concealer #20,1001224,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
Nubian Glow Lip Balm - 003 - Grape,1001241,EA,0.,-7.,0.,-7.,-7.,0.,0.,0.,0.,0.,-7.,0.,-7.
Nubian Glow Lip Balm - 004 - Coconut,1001242,EA,6.,0.,0.,6.,6.,0.,0.,0.,0.,0.,6.,0.,6.
Nubian Glow Lip Balm - 005- Papaya,1001243,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
The Nefartari Liquid Lip,1001245,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
Nubian Glow Lip Balm - 003 - Grape - Unboxed,1001249,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
La Mariposa Palette,1001252,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
La Mariposa Lip Gloss Island Mami,1001256,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
Vanessa Lip Gloss - Legit Nude,1001264,EA,19.,0.,0.,19.,19.,0.,0.,0.,0.,0.,19.,0.,19.
Vanessa Lip Gloss - Naomi,1001272,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
Vanessa Palette,1001274,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
The Disco Fever Palette with Fumi,1001297,EA,338.,0.,0.,338.,338.,0.,0.,0.,0.,0.,338.,0.,338.
Disco Fever Lip Gloss,1001301,EA,21.,0.,0.,21.,21.,0.,0.,0.,0.,0.,21.,0.,21.
Melissa Palette,1001307,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
The Let's Melt it off Gel Cleanser,1001311,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
The Let's Melt It Off Cleansing Balm,1001317,EA,143.,0.,0.,143.,143.,0.,0.,0.,0.,0.,143.,0.,143.
Let'S Melt It Off Cleansing Oil,1001321,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
I Prep I Prime Primer Color 1,1001322,EA,"2,833.",-49.,0.,"2,784.","2,784.","7,776.",0.,0.,0.,0.,"10,560.",0.,"10,560."
I Prep I Prime Primer Color 2,1001327,EA,478.,0.,0.,478.,478.,0.,0.,0.,0.,0.,478.,0.,478.
I Prep I Prime Primer Color 3,1001330,EA,"1,318.",0.,0.,"1,318.","1,318.",0.,0.,0.,0.,0.,"1,318.",0.,"1,318."
The Egyptian Balm,1001337,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
Wahala Gift Set,1001370,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
Wahala Mini Lip Duo Gift Set,1001371,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
Jose Bundle,1001380,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
Nubia Loose Highlighter,1001386,EA,"2,094.",-11.,0.,"2,083.","2,083.",0.,0.,"12,880.",0.,0.,"2,083.","12,880.","14,963."
Lip Oil,1001412,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
Vanessa Lip Gloss - Legit Nude - Unboxed,1001425,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
Vanessa Lip Gloss - Naomi - Unboxed,1001426,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
Love Mystery Box,1001459,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
The Reds & Berries Lip Gloss Bundle,1001474,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
The Azelaic Serum,1001486,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
The Mandelic Serum,1001490,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
Tranexamic HA Serum,1001494,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
Triple HA Serum,1001498,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
The Festival Liquid Lipstick - Dudu,1001507,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
The Nubian Matte Eyeliner,1001519,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
Bronzer Duo - Deep Dark,1001528,EA,"3,545.","-1,557.",0.,"1,988.","1,988.",0.,0.,0.,0.,0.,"1,988.",0.,"1,988."
Bronzer Duo - Dark,1001532,EA,"16,199.",-900.,0.,"15,299.","15,299.",0.,"19,584.",0.,0.,0.,"34,883.",0.,"34,883."
Bronzer Duo - Tan,1001536,EA,"13,549.",-773.,0.,"12,776.","12,776.",0.,"19,584.",0.,0.,0.,"32,360.",0.,"32,360."
Bronzer Duo - Medium,1001540,EA,"8,587.00",-652.00,0.00,"7,935.00","7,935.",0.,"39,168.",0.,0.,0.,"47,103.",0.,"47,103."
Bronzer Duo - Light,1001544,EA,"5,608.00",-348.00,0.00,"5,260.00","5,260.",0.,"32,256.",0.,0.,0.,"37,516.",0.,"37,516."
Marula Oil,1001550,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
I Line I Define Liquid Eyeliner,1001551,EA,0.00,0,0,0,0.,0.,0.,0.,0.,0.,0.,0.,0.
The Peptide & Ceramide Cream,1001566,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
Bronzed Rustic Eyeshadow Palette,1001609,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
Rose Eyeshadow Palette,1001610,EA,0.,-1.,0.,-1.,-1.,0.,0.,0.,0.,0.,-1.,0.,-1.
Blushed Duo Blush Volume 4,1002329,EA,"4,782.","-8,869.","229,000.","224,913.","-4,087.",0.,"30,240.",0.,0.,0.,"26,153.",0.,"26,153."
Blushed Duo Blush Volume 1,1001611,EA,"24,886.",-575.,"20,000.","44,311.","24,311.",0.,0.,0.,0.,0.,"24,311.",0.,"24,311."
Bronzed Lip Gloss -  Bronzed Sugar,1001615,EA,326.,0.,0.,326.,326.,0.,0.,0.,0.,0.,326.,0.,326.
Bronzed Lip Gloss - Bronzed Honey,1001620,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
Bronzed Lip Liner - Brownie,1001624,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
Bronzed Lip Gloss - Honey Rose,1001626,EA,909.,0.,0.,909.,909.,0.,0.,0.,0.,0.,909.,0.,909.
Bronzed Mini Liquid Lipstick - Bronzed Toast,1001628,EA,145.,0.,0.,145.,145.,0.,0.,0.,0.,0.,145.,0.,145.
Bronzed Mini Liquid Lipstick - Bronzed Maple,1001633,EA,243.,0.,0.,243.,243.,0.,0.,0.,0.,0.,243.,0.,243.
Bronzed Mini Liquid Lipstick - Bronzed Chestnut,1001635,EA,111.,0.,0.,111.,111.,0.,0.,0.,0.,0.,111.,0.,111.
Let's Clarify Gel Cleanser,1001643,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
Luxe Lip Liner - 009 - Brownie,1001659,EA,0.,-721.,0.,-721.,-721.,0.,0.,"25,231.",0.,0.,-721.,"25,231.","24,510."
i Sculpt i Shade Brow Gel - Ebony - Semi Finished,1001682,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
i Sculpt i Shade Brow Gel - Dark Brown - Semi Finished,1001683,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
The Rebel - Greys,1001712,EA,"7,600.",-27.,0.,"7,573.","7,573.",0.,"5,184.",0.,0.,0.,"12,757.",0.,"12,757."
The Rebel- Army,1001713,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
The Rebel- Honey,1001714,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
The Rebel- Mint,1001715,EA,"5,292.",-29.,0.,"5,263.","5,263.","5,184.","10,368.",0.,0.,0.,"20,815.",0.,"20,815."
i Live i Love Palette,1001716,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
i Sculpt i Shade Brow Pencil - Ebony,1001718,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
i Sculpt i Shade Brow Pencil - Dark Brown,1001719,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
i Sculpt i Shade Brow Pencil -Chocolate,1001720,EA,"10,969.",-7.,0.,"10,962.","10,962.",0.,0.,0.,0.,0.,"10,962.",0.,"10,962."
i Sculpt i Shade Brow Pencil - Medium Brown,1001721,EA,234.,-17.,0.,217.,217.,"21,600.",0.,0.,0.,0.,"21,817.",0.,"21,817."
i Sculpt i Shade Brow Gel - Ebony,1001722,EA,"1,241.",-28.,0.,"1,213.","1,213.",0.,"11,520.",0.,0.,0.,"12,733.",0.,"12,733."
i Sculpt i Shade Brow Gel - Dark Brown,1001723,EA,"4,911.",-42.,0.,"4,869.","4,869.",0.,0.,0.,0.,0.,"4,869.",0.,"4,869."
i Sculpt i Shade Brow Gel - Chocolate,1001724,EA,"5,189.",-8.,0.,"5,181.","5,181.",0.,0.,0.,0.,0.,"5,181.",0.,"5,181."
i Sculpt i Shade Brow Gel - Medium Brown,1001725,EA,"11,366.",-2.,0.,"11,364.","11,364.",0.,0.,0.,0.,0.,"11,364.",0.,"11,364."
i Sculpt i Shade Brow  Gel - Clear,1001726,EA,8.,0.,0.,8.,8.,0.,0.,0.,0.,0.,8.,0.,8.
i Sculpt i Shade Brow  Pen - Dark Brown,1001727,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
i Sculpt i Shade Brow Pen -  Chocolate,1001728,EA,"3,352.",-18.,0.,"3,334.","3,334.",0.,"10,800.",0.,0.,0.,"14,134.",0.,"14,134."
i Sculpt i Shade Brow  Pen - Medium Brown,1001729,EA,"2,767.",-4.,0.,"2,763.","2,763.","18,000.",0.,0.,0.,0.,"20,763.",0.,"20,763."
i Sculpt i Shade Brow Pen - Ebony,1001733,EA,"9,001.",-22.,0.,"8,979.","8,979.",0.,0.,0.,0.,0.,"8,979.",0.,"8,979."
Nude Lipstick Mini Size - Kebi,1001746,EA,"1,194.",-28.,0.,"1,166.","1,166.",0.,0.,0.,0.,0.,"1,166.",0.,"1,166."
Nude Lipstick Mini Size - Toffee,1001747,EA,126.,-28.,0.,98.,98.,0.,0.,0.,0.,0.,98.,0.,98.
I Line I Define Pen Eyeliner,1001763,EA,23.,-14.,0.,9.,9.,0.,0.,0.,0.,0.,9.,0.,9.
"I Live, I Love Eye Kit",1001764,EA,246.,0.,0.,246.,246.,0.,0.,0.,0.,0.,246.,0.,246.
"I Live, I Love Eyeliner Kit",1001765,EA,7.,0.,0.,7.,7.,0.,0.,0.,0.,0.,7.,0.,7.
I Am Magic Concealer - J13-WAREHOUSE,1001772,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
I sculpt I shade Palette,1001774,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
PR Mailer For Rebel Collection,1001775,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
The Color Bundle,1001787,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
Rebel Quad Eye shadow Bundle,1001788,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
I live I love Ice Palette,1001789,EA,7.,0.,0.,7.,7.,0.,0.,0.,0.,0.,7.,0.,7.
i Sculpt I Shade Brow PR Collection ,1001790,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
The Vitamic C Treatment pads - 15%,1001791,EA,"4,048.",-24.,0.,"4,024.","4,024.",0.,0.,0.,0.,0.,"4,024.",0.,"4,024."
The AHA/BHA/PHA  Exfoliating Facial Pads,1001792,EA,"4,973.",-5.,0.,"4,968.","4,968.",0.,0.,0.,0.,0.,"4,968.",0.,"4,968."
"I Live, I Love Ice Kit",1001804,EA,223.,0.,0.,223.,223.,0.,0.,0.,0.,0.,223.,0.,223.
"I Live, I Love Lip Kit Self Love",1001806,EA,53.,0.,0.,53.,53.,0.,0.,0.,0.,0.,53.,0.,53.
I Live I Love liquid lipstick - Lover Girl,1001816,EA,"10,873.",0.,0.,"10,873.","10,873.",0.,0.,0.,0.,0.,"10,873.",0.,"10,873."
I Live I Love liquid lipstick - Self love,1001817,EA,0.,0.,0.,0.,0.,0.,0.,"10,187.",0.,0.,0.,"10,187.","10,187."
I Live I Love liquid lipstick - C'est La Vie,1001818,EA,"8,827.00",-96,0.00,"8,731.00","8,731.",0.,0.,0.,0.,0.,"8,731.",0.,"8,731."
"I Live, I Love Lip Kit Lover Girl",1001820,EA,108.00,0,0,108.00,108.,0.,0.,0.,0.,0.,108.,0.,108.
"I Live, I Love Pro Brush Set",1001824,EA,"1,040.",-48.,0.,992.,992.,0.,0.,46.,0.,0.,992.,46.,"1,038."
Culture Duochrome Liquid Eyeshadow- Ankara,1001829,EA,"13,285.",-15.,0.,"13,270.","13,270.",0.,0.,0.,0.,0.,"13,270.",0.,"13,270."
Culture Duochrome Liquid Eyeshadow- Kente,1001830,EA,"12,182.00",-9,0,"12,173.00","12,173.",0.,0.,0.,0.,0.,"12,173.",0.,"12,173."
Culture Duochrome Liquid Eyeshadow-Fula,1001831,EA,"5,070.00",-451,0,"4,619.00","4,619.",0.,0.,0.,0.,0.,"4,619.",0.,"4,619."
Culture Duochrome Liquid Eyeshadow-Afrochella,1001832,EA,"6,983.",-158.,0.,"6,825.","6,825.",0.,0.,0.,0.,0.,"6,825.",0.,"6,825."
I am magic Natural Radiance Foundation - Capri,1001861,EA,"2,865.00",-2,0.00,"2,863.00","2,863.",0.,0.,0.,0.,0.,"2,863.",0.,"2,863."
I am magic Natural Radiance Foundation - Alexandria,1001862,EA,280.,-9.,0.,271.,271.,0.,0.,0.,0.,0.,271.,0.,271.
I am magic Natural Radiance Foundation - Vienna,1001863,EA,"2,614.00",-4,0.00,"2,610.00","2,610.",0.,0.,0.,0.,0.,"2,610.",0.,"2,610."
I am magic Natural Radiance Foundation - Maricao,1001864,EA,2.00,0,0,2.00,2.,0.,0.,0.,0.,0.,2.,0.,2.
I am magic Natural Radiance Foundation - Bali,1001865,EA,"3,808.00",-152,0,"3,656.00","3,656.",0.,0.,0.,0.,0.,"3,656.",0.,"3,656."
I am magic Natural Radiance Foundation - Isla,1001866,EA,"1,503.00",-11,0,"1,492.00","1,492.",0.,0.,0.,0.,0.,"1,492.",0.,"1,492."
I am Magic Powder Foundation- Peru,1001867,EA,673.00,-14,0,659.00,659.,0.,0.,0.,0.,0.,659.,0.,659.
I am Magic Powder Foundation- Bogota,1001868,EA,656.00,0,0.00,656.00,656.,0.,0.,0.,0.,0.,656.,0.,656.
I am magic Natural Radiance Foundation - Tangier,1001869,EA,"1,755.",-11.,0.,"1,744.","1,744.",0.,0.,0.,0.,0.,"1,744.",0.,"1,744."
